Time [s],Channel 0
0.937224417,1
0.937224833,0
0.937225667,1
0.937226083,0
0.937226917,1
0.937227333,0
0.937228167,1
0.937228583,0
0.937229417,1
0.937229833,0
0.937230667,1
0.937231083,0
0.937231917,1
0.937232333,0
0.937233167,1
0.937233583,0
0.937234417,1
0.937234833,0
0.937235667,1
0.937236083,0
0.937236917,1
0.937237333,0
0.937238167,1
0.937238583,0
0.937239333,1
0.937239833,0
0.937240583,1
0.937241083,0
0.937241833,1
0.937242333,0
0.937243083,1
0.937243583,0
0.937244333,1
0.937244833,0
0.937245583,1
0.937246000,0
0.937246833,1
0.937247250,0
0.937248083,1
0.937248500,0
0.937249333,1
0.937249750,0
0.937250583,1
0.937251000,0
0.937251833,1
0.937252250,0
0.937253083,1
0.937253500,0
0.937254333,1
0.937254750,0
0.937255583,1
0.937256000,0
0.937256833,1
0.937257250,0
0.937258083,1
0.937258500,0
0.937259333,1
0.937259750,0
0.937260583,1
0.937261000,0
0.937261833,1
0.937262250,0
0.937263083,1
0.937263500,0
0.937264250,1
0.937264750,0
0.937265500,1
0.937266000,0
0.937266750,1
0.937267250,0
0.937268000,1
0.937268500,0
0.937269250,1
0.937269750,0
0.937270500,1
0.937271000,0
0.937271750,1
0.937272167,0
0.937273000,1
0.937273417,0
0.937274250,1
0.937274667,0
0.937275500,1
0.937275917,0
0.937276750,1
0.937277167,0
0.937278000,1
0.937278417,0
0.937279250,1
0.937279667,0
0.937280500,1
0.937280917,0
0.937281750,1
0.937282167,0
0.937283000,1
0.937283417,0
0.937284250,1
0.937284667,0
0.937285500,1
0.937285917,0
0.937286750,1
0.937287167,0
0.937288000,1
0.937288417,0
0.937289250,1
0.937289667,0
0.937290417,1
0.937290917,0
0.937291667,1
0.937292167,0
0.937292917,1
0.937293417,0
0.937294167,1
0.937294667,0
0.937295417,1
0.937295917,0
0.937296667,1
0.937297083,0
0.937297917,1
0.937298333,0
0.937299167,1
0.937299583,0
0.937300417,1
0.937300833,0
0.937301667,1
0.937302083,0
0.937302917,1
0.937303333,0
0.937304167,1
0.937304583,0
0.937305417,1
0.937305833,0
0.937306667,1
0.937307083,0
0.937307917,1
0.937308333,0
0.937309167,1
0.937309583,0
0.937310417,1
0.937310833,0
0.937311667,1
0.937312083,0
0.937312833,1
0.937313333,0
0.937314083,1
0.937314583,0
0.937315333,1
0.937315833,0
0.937316583,1
0.937317083,0
0.937317833,1
0.937318333,0
0.937319083,1
0.937319583,0
0.937320333,1
0.937320750,0
0.937321583,1
0.937322000,0
0.937322833,1
0.937323250,0
0.937324083,1
0.937324500,0
0.937325333,1
0.937325750,0
0.937326583,1
0.937327000,0
0.937327833,1
0.937328250,0
0.937329083,1
0.937329500,0
0.937330333,1
0.937330750,0
0.937331583,1
0.937332000,0
0.937332833,1
0.937333250,0
0.937334083,1
0.937334500,0
0.937335333,1
0.937335750,0
0.937336583,1
0.937337000,0
0.937337750,1
0.937338250,0
0.937339000,1
0.937339500,0
0.937340250,1
0.937340750,0
0.937341500,1
0.937342000,0
0.937342750,1
0.937343250,0
0.937344000,1
0.937344417,0
0.937345250,1
0.937345667,0
0.937346500,1
0.937346917,0
0.937347750,1
0.937348167,0
0.937349000,1
0.937349417,0
0.937350250,1
0.937350667,0
0.937351500,1
0.937351917,0
0.937352750,1
0.937353167,0
0.937354000,1
0.937354417,0
0.937355250,1
0.937355667,1
